Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Congo, Dem. Rep.",COD,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,1.04693400195632E-14,1.11079151276482E-14,1.34673220501449E-14,2.52982569082429E-14,2.61958333851994E-14,3.63996662362774E-14,3.82101203335802E-14,6.05914730105155E-14,9.68753344331763E-14,1.14052359883272E-13,1.10816752714489E-13,1.19907823098172E-13,1.32116116352221E-13,1.557477914656E-13,1.84153576727395E-13,2.06740782631502E-13,3.25400540465706E-13,4.46682686874472E-13,5.73604438960555E-13,1.15736188438692E-12,1.75233332202128E-12,2.33463757705042E-12,3.34986134751774E-12,5.96997124193457E-12,1.13192578007595E-11,1.42408611757373E-11,1.82928499347398E-11,3.17870093314154E-11,6.08995186600777E-11,1.28048696950019E-10,2.67564547964494E-10,6.52442683729213E-09,2.58061153231475E-07,4.53579015336614E-06,0.00121857895320633,0.0069021208616472,0.0509506848435251,0.14910352834145,0.189265124866777,1.02563242790406,28.0010234704378,48.4584903962131,63.8292624695697,72.3922475086511,77.0003458092166,100,113.325225383839,136.297908756663,164.191707332892,217.813318777037,263.088703436932,299.373003196051,317.155736271772,325.945045974108,329.18373590731,325.378708604392,339.530239272465,485.761362854921,632.160767508049
"Congo, Rep.",COG,Consumer price index (2010 = 100),FP.CPI.TOTL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35.4484142505569,36.9223986213449,37.0861746625436,37.4683187586738,36.7950172559682,37.8580450789336,37.2226546968758,35.7577689950433,37.518361437929,53.441032110022,58.4741124872293,64.3397210738633,..,73.4672024810374,76.5107072466461,75.8358892991145,75.8783497542401,79.2008803678168,78.7004535752652,80.6126905007425,83.1072422393703,88.5406640506187,90.8911056461824,95.3981691838211,99.6100019287645,100,101.759587042738,106.85793338822,111.807182739123,112.827020267541,116.402619073639,120.116516568787,120.657117555654,..
"Congo, Rep.",COG,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,18.9224999414413,20.1134738933591,20.9690648505424,22.5991783917911,23.4705898769606,24.180689149489,26.605373488658,28.0729398072925,27.779652879535,28.6121794694493,29.6738215737535,32.140611887124,34.5279439253914,37.2344439763836,40.255550428079,43.5986952084825,47.3812095892286,54.2631082797529,53.8136235764581,63.0166130823102,75.7106850031784,96.7500233498957,102.598308936638,109.101370938422,122.315068503248,125.371159603645,88.7970543631387,95.5691808750801,89.6187063291257,101.03976819617,100,98.5193643033853,96.9733310419849,95.8767288671085,131.114135869635,135.566679501989,159.957733488233,167.898863446374,137.304182008543,177.610294117647,261.158324029983,224.791483757682,220.882522692691,211.491620693245,247.037521376119,299.72927557879,355.237258347979,359.224629319948,449.130203492379,356.486972698856,430.358471232861,476.278954236476,470.706786095622,453.487185469067,427.779161082591,300.766965545411,327.75519341741,319.724293100351,390.81662109541
Costa Rica,CRI,Consumer price index (2010 = 100),FP.CPI.TOTL,0.24914851694617,0.255204803923181,0.262038830487819,0.269720809242317,0.278686418381441,0.276833153697579,0.277339434024538,0.280690638205111,0.292181808190401,0.299864263790218,0.313814841417028,0.323489904908506,0.338374082036893,0.389854430671012,0.507097806884084,0.595176649414235,0.615923515449255,0.641635146702956,0.680227392613047,0.742696141773493,0.877320140067072,1.20243042500369,2.28609334961627,3.03182985210818,3.3941535570514,3.90503335368347,4.36726241904621,5.10299995382895,6.16576721824463,7.18373256037572,8.55181552633007,11.0069836826342,13.4052132728109,14.7164370295246,16.7081956867893,20.5826987342896,24.1893010024218,27.3899010763151,30.5852325413172,33.6577894536768,37.3576301336988,41.5625916535062,45.3726237432137,49.659280768872,55.7748864202259,63.4705688908685,70.7511279596195,77.371330620994,87.7581622185589,94.6408203902005,100,104.878146811284,109.593006373151,115.326024202675,120.538006838199,121.504549479533,121.483320297493,123.45830294592,126.200556640365
Costa Rica,CRI,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,0.128707958154293,0.129372366128367,0.133471925325042,0.133384113196538,0.136386825301064,0.137252198906776,0.140064658710031,0.143255052480347,0.146109450472302,0.152783820108242,0.163963735598884,0.167970271002103,0.178742354255606,0.205268472385778,0.252917497736794,0.314985702177865,0.367278940833434,0.429491505789376,0.463457762197324,0.505864000150818,0.601116068817897,0.848187688763379,1.56212329202647,2.01406911242662,2.35030800754997,2.83318383294368,3.34457134793468,3.68385748419347,4.37786946833673,5.04542099010528,5.98124064507735,9.81821444381965,11.7516048525214,12.9710994562383,15.0021119839584,18.1852690423723,20.9599984399644,24.0213349639985,26.9396636487416,30.0110580666021,32.8364753983739,36.0409961333001,39.5949999311065,43.8405874484114,49.7353385799416,56.2522059797865,63.5860864647987,70.2850573672859,78.3099902127467,86.0057461452044,91.6570229995419,95.8259435813368,100,104.013244204486,110.043466065175,114.199713952904,116.487673554592,119.457778273114,122.26570550824
Cote d'Ivoire,CIV,Consumer price index (2010 = 100),FP.CPI.TOTL,5.55883694312651,6.20457880008372,6.12135995510318,6.17911292402158,6.21731173808977,6.37965669789429,6.64704839639421,6.7993889049167,7.16318713418071,7.4819653325596,8.09587484446534,8.05994976931643,8.08496089757378,8.98263302829179,10.5419631884473,11.7484090662531,13.1672221604008,16.7779195858277,18.999817271053,22.1048351578257,25.3544628407263,27.5854554816787,29.6772952999557,31.3512219023248,32.6945468639048,33.3039088979584,36.5287113202562,39.0650116220129,41.7724849806154,42.2108948289126,41.8707257970249,42.5755560310966,44.3770912239754,45.3377285700267,57.1625208877872,65.3339427395351,66.9547515630836,69.6468905321824,72.8586203907281,73.3703617129058,75.2272006073529,78.5082568831034,80.9241638777508,83.5920777572989,84.8108405175449,88.1064459399084,90.2802006727278,91.9883077512366,97.7914156186894,98.7884035771395,100,104.912433950525,106.281028400716,109.024322817415,109.513495413213,110.884056313105,111.685945921178,112.451978676858,112.924637185682
Cote d'Ivoire,CIV,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,6.64347529501323,6.84211942257674,7.04771278278291,7.26012500748035,7.47111715964732,7.70114298051158,7.70434690432763,7.79893716476114,8.25079198452421,8.40375488966118,8.65509845081355,8.57364584977512,8.78898294740842,9.95158688435527,12.608080537825,13.1519872897511,15.5486704150273,20.0191140220417,20.9066223326586,22.2742075260906,27.6520202705183,28.4752184693768,30.8390367873125,33.6289771887413,39.6518919924457,39.788158522677,38.9842766432061,37.3955867485834,37.2531372309872,36.8759840387473,35.2079824086267,35.4415835941459,35.4331353357441,37.6137593282047,55.0613038448766,61.1421585333219,64.1889240045239,68.1697126945204,70.6507379715239,71.2061814069815,72.8053432064717,78.1903273797396,83.4035166096432,87.4077335260903,84.8811077549789,85.9856700861802,87.4852753899128,90.0513431231014,97.7080211103368,100,105.386423289957,107.10993848611,110.489112766101,114.588791182688,119.068482072527,122.766930496097,121.455099775697,119.339113591815,119.85312392244
Croatia,HRV,Consumer price index (2010 = 100),FP.CPI.TOTL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.00012054,0.00018081,0.000421889874176096,0.00120539964050313,0.018080994607547,0.108485967645282,0.241079928100626,1.74782947872954,27.9652716596727,57.9797227082006,60.2699820251566,62.8615912522382,65.4833354703325,69.6720992210809,72.4723175629808,75.8142448103077,78.6775232641374,79.9928418038654,81.4065855404438,83.0798138869004,85.8357193987115,88.5737294201861,91.1417322834646,96.6803865425913,98.9799570508232,100,102.272727272727,105.762347888332,108.106657122405,107.874015748032,107.372942018611,106.164996420902,107.363994273443,108.974588403722
Croatia,HRV,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53.8390376660717,55.8746941115225,59.7578110509333,64.6912510983481,67.1133708215908,70.0862398172256,73.020752901681,75.5290417294133,78.620302125731,81.5567440703229,84.3447627901525,87.6952878209319,91.3118434637024,96.5067482224967,99.192804023619,100,101.656327571355,103.228993328349,104.040143719784,104.063717397039,104.090358554109,104.008532531785,105.167629454302,107.00043344119
Cuba,CUB,Consumer price index (2010 = 100),FP.CPI.TOTL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
